From Date,To Date,PM10,Temp
2-4-2019 ,3-4-2019 ,71.54,30.09
3-4-2019 ,4-4-2019 ,72.72,31.31
4-4-2019 ,5-4-2019 ,80.27,32.5
5-4-2019 ,6-4-2019 ,75.89,32.86
6-4-2019 ,7-4-2019 ,78.76,31.97
7-4-2019 ,8-4-2019 ,77.7,32.86
8-4-2019 ,9-4-2019 ,75.21,31.64
9-4-2019 ,10-4-2019 ,84.84,32.71
10-4-2019 ,11-4-2019 ,58.28,33.01
11-4-2019 ,12-4-2019 ,63.15,33.53
12-4-2019 ,13-04-2019,60.87,33.49
13-04-2019,14-04-2019,66.77,32.85
14-04-2019,15-04-2019,62.84,32.69
15-04-2019,16-04-2019,113.01,31.5
16-04-2019,17-04-2019,210.79,25.06
17-04-2019,18-04-2019,40.44,23.19
18-04-2019,19-04-2019,44.04,26.37
19-04-2019,20-04-2019,34.94,27.35
20-04-2019,21-04-2019,49.96,28.61
21-04-2019,22-04-2019,64.31,30.71
22-04-2019,23-04-2019,65.13,32.39
23-04-2019,24-04-2019,63.64,33.65
24-04-2019,25-04-2019,51.6,34.28
25-04-2019,26-04-2019,53.39,33.73
26-04-2019,27-04-2019,57.91,34.09
27-04-2019,28-04-2019,61.9,34.38
28-04-2019,29-04-2019,76.41,34.05
29-04-2019,30-04-2019,69.01,34.09
30-04-2019,1-5-2019 ,87.81,33.07
1-5-2019 ,2-5-2019 ,183.57,32.82
2-5-2019 ,3-5-2019 ,100.8,33.78
3-5-2019 ,4-5-2019 ,101.74,32.41
4-5-2019 ,5-5-2019 ,96.06,29.22
5-5-2019 ,6-5-2019 ,86.66,29.77
6-5-2019 ,7-5-2019 ,64.8,33.07
7-5-2019 ,8-5-2019 ,67.45,33.18
8-5-2019 ,9-5-2019 ,76.03,32.62
9-5-2019 ,10-5-2019 ,73.86,31.1
10-5-2019 ,11-5-2019 ,68.55,30.02
11-5-2019 ,12-5-2019 ,91.64,29.95
12-5-2019 ,13-05-2019,91.85,30.23
13-05-2019,14-05-2019,63.25,30.58
14-05-2019,15-05-2019,94.74,31.5
15-05-2019,16-05-2019,156.21,31.87
16-05-2019,17-05-2019,108.81,31.36
17-05-2019,18-05-2019,158.4,29.09
18-05-2019,19-05-2019,62.2,29.98
19-05-2019,20-05-2019,40.91,31.82
20-05-2019,21-05-2019,51.42,32.94
21-05-2019,22-05-2019,64.04,33.58
22-05-2019,23-05-2019,88.21,33.79
23-05-2019,24-05-2019,133.19,33.85
24-05-2019,25-05-2019,203.28,33.16
25-05-2019,26-05-2019,116.91,33.99
26-05-2019,27-05-2019,83.4,34.28
27-05-2019,28-05-2019,107.18,34.68
28-05-2019,29-05-2019,121.47,33.67
29-05-2019,30-05-2019,112.96,33.9
30-05-2019,31-05-2019,107.07,35.38
31-05-2019,1-6-2019 ,164.25,35.33
1-6-2019 ,2-6-2019 ,140.2,32.54
2-6-2019 ,3-6-2019 ,158.34,35.66
3-6-2019 ,4-6-2019 ,154.48,37.19
4-6-2019 ,5-6-2019 ,172.95,34.84
5-6-2019 ,6-6-2019 ,108.27,35.82
6-6-2019 ,7-6-2019 ,116.81,36.03
7-6-2019 ,8-6-2019 ,105.76,36.91
8-6-2019 ,9-6-2019 ,89.49,36.91
9-6-2019 ,10-6-2019 ,82.37,37.02
10-6-2019 ,11-6-2019 ,97.99,36.15
11-6-2019 ,12-6-2019 ,79.33,35.11
12-6-2019 ,13-06-2019,105.42,33.83
13-06-2019,14-06-2019,62.36,28.61
14-06-2019,15-06-2019,65.02,31.23
15-06-2019,16-06-2019,82.27,30.6
16-06-2019,17-06-2019,109.54,29.93
17-06-2019,18-06-2019,78.01,28.83
18-06-2019,19-06-2019,61.83,25.33
19-06-2019,20-06-2019,74.57,25.94
20-06-2019,21-06-2019,112.12,28.16
21-06-2019,22-06-2019,127.66,29.19
22-06-2019,23-06-2019,98.27,30.12
23-06-2019,24-06-2019,117.83,30.38
24-06-2019,25-06-2019,77.59,29.65
25-06-2019,26-06-2019,105.97,27.28
26-06-2019,27-06-2019,103.6,27.07
27-06-2019,28-06-2019,97.14,29.08
28-06-2019,29-06-2019,81.37,29.59
29-06-2019,30-06-2019,82.11,29.68
30-06-2019,1-7-2019 ,82.9,29.5
1-7-2019 ,2-7-2019 ,60.15,29.38
2-7-2019 ,3-7-2019 ,67.24,28.11
3-7-2019 ,4-7-2019 ,68.31,28.48
4-7-2019 ,5-7-2019 ,67.72,25.9
5-7-2019 ,6-7-2019 ,90.63,25.07
6-7-2019 ,7-7-2019 ,123.58,26.67
7-7-2019 ,8-7-2019 ,102.64,27.41
8-7-2019 ,9-7-2019 ,None,None
9-7-2019 ,10-7-2019 ,None,None
10-7-2019 ,11-7-2019 ,None,None
11-7-2019 ,12-7-2019 ,119.04,32.19
12-7-2019 ,13-07-2019,105.81,None
13-07-2019,14-07-2019,103.11,None
14-07-2019,15-07-2019,128.9,None
15-07-2019,16-07-2019,128.19,None
16-07-2019,17-07-2019,97.89,None
17-07-2019,18-07-2019,76.16,None
18-07-2019,19-07-2019,74.95,None
19-07-2019,20-07-2019,74.09,None
20-07-2019,21-07-2019,63.8,None
21-07-2019,22-07-2019,69.21,None
22-07-2019,23-07-2019,68.87,None
23-07-2019,24-07-2019,63.74,None
24-07-2019,25-07-2019,50.4,None
25-07-2019,26-07-2019,54.75,None
26-07-2019,27-07-2019,65.68,None
27-07-2019,28-07-2019,72.83,None
28-07-2019,29-07-2019,47.47,None
29-07-2019,30-07-2019,51.2,None
30-07-2019,31-07-2019,43.22,None
31-07-2019,1-8-2019 ,32.42,None
1-8-2019 ,2-8-2019 ,57.3,None
2-8-2019 ,3-8-2019 ,83.8,None
3-8-2019 ,4-8-2019 ,72.84,None
4-8-2019 ,5-8-2019 ,95.52,None
5-8-2019 ,6-8-2019 ,98.24,None
6-8-2019 ,7-8-2019 ,77.85,None
7-8-2019 ,8-8-2019 ,75.54,None
8-8-2019 ,9-8-2019 ,44.93,None
9-8-2019 ,10-8-2019 ,26.97,None
10-8-2019 ,11-8-2019 ,19.95,None
11-8-2019 ,12-8-2019 ,43.5,None
12-8-2019 ,13-08-2019,90.01,None
13-08-2019,14-08-2019,94.58,None
14-08-2019,15-08-2019,88.35,None
15-08-2019,16-08-2019,36.11,None
16-08-2019,17-08-2019,22,None
17-08-2019,18-08-2019,88.59,None
18-08-2019,19-08-2019,119.95,None
19-08-2019,20-08-2019,92.17,None
20-08-2019,21-08-2019,49.5,None
21-08-2019,22-08-2019,53.41,None
22-08-2019,23-08-2019,56.75,None
23-08-2019,24-08-2019,59.11,None
24-08-2019,25-08-2019,56.18,None
25-08-2019,26-08-2019,54.73,None
26-08-2019,27-08-2019,48.89,None
27-08-2019,28-08-2019,48.17,None
28-08-2019,29-08-2019,38.52,None
29-08-2019,30-08-2019,59.34,None
30-08-2019,31-08-2019,57.04,None
31-08-2019,1-9-2019 ,35.39,None
1-9-2019 ,2-9-2019 ,58.26,None
2-9-2019 ,3-9-2019 ,53.21,None
3-9-2019 ,4-9-2019 ,56.73,None
4-9-2019 ,5-9-2019 ,45.74,None
5-9-2019 ,6-9-2019 ,49.81,None
6-9-2019 ,7-9-2019 ,77.27,None
7-9-2019 ,8-9-2019 ,74.94,None
8-9-2019 ,9-9-2019 ,70.97,None
9-9-2019 ,10-9-2019 ,81.48,None
10-9-2019 ,11-9-2019 ,76.47,None
11-9-2019 ,12-9-2019 ,70.71,None
12-9-2019 ,13-09-2019,99.99,None
13-09-2019,14-09-2019,89.4,None
14-09-2019,15-09-2019,88.44,None
15-09-2019,16-09-2019,103.72,None
16-09-2019,17-09-2019,112.13,None
17-09-2019,18-09-2019,103.05,None
18-09-2019,19-09-2019,96.99,None
19-09-2019,20-09-2019,69.88,None
20-09-2019,21-09-2019,54.95,None
21-09-2019,22-09-2019,69.13,None
22-09-2019,23-09-2019,73.79,None
23-09-2019,24-09-2019,65.75,None
24-09-2019,25-09-2019,68.07,None
25-09-2019,26-09-2019,83,None
26-09-2019,27-09-2019,71.07,None
27-09-2019,28-09-2019,44.48,None
28-09-2019,29-09-2019,71.81,None
29-09-2019,30-09-2019,84.28,None
30-09-2019,1-10-2019 ,74.32,None
1-10-2019 ,2-10-2019 ,94.56,None
2-10-2019 ,3-10-2019 ,116.36,None
3-10-2019 ,4-10-2019 ,100.51,None
4-10-2019 ,5-10-2019 ,94.26,None
5-10-2019 ,6-10-2019 ,81.17,None
6-10-2019 ,7-10-2019 ,77.8,None
7-10-2019 ,8-10-2019 ,62.88,None
8-10-2019 ,9-10-2019 ,76.42,None
9-10-2019 ,10-10-2019 ,84.14,None
10-10-2019 ,11-10-2019 ,64.9,None
11-10-2019 ,12-10-2019 ,65.81,None
12-10-2019 ,13-10-2019,70.86,None
13-10-2019,14-10-2019,70.35,None
14-10-2019,15-10-2019,79.28,None
15-10-2019,16-10-2019,93.7,None
16-10-2019,17-10-2019,107.93,None
17-10-2019,18-10-2019,105.12,None
18-10-2019,19-10-2019,132.81,None
19-10-2019,20-10-2019,122.75,None
20-10-2019,21-10-2019,163.89,None
21-10-2019,22-10-2019,156.59,None
22-10-2019,23-10-2019,141.12,None
23-10-2019,24-10-2019,157.3,None
24-10-2019,25-10-2019,169.44,None
25-10-2019,26-10-2019,172.27,None
26-10-2019,27-10-2019,156.78,None
27-10-2019,28-10-2019,191.87,None
28-10-2019,29-10-2019,166.58,None
29-10-2019,30-10-2019,153.38,None
30-10-2019,31-10-2019,101.14,None
31-10-2019,1-11-2019 ,114.61,None
1-11-2019 ,2-11-2019 ,134.26,None
2-11-2019 ,3-11-2019 ,117.13,None
3-11-2019 ,4-11-2019 ,60.69,None
4-11-2019 ,5-11-2019 ,107.32,None
5-11-2019 ,6-11-2019 ,126.57,None
6-11-2019 ,7-11-2019 ,96.09,None
7-11-2019 ,8-11-2019 ,83.55,None
8-11-2019 ,9-11-2019 ,93.3,None
9-11-2019 ,10-11-2019 ,146.34,None
10-11-2019 ,11-11-2019 ,149.68,None
11-11-2019 ,12-11-2019 ,146.36,None
12-11-2019 ,13-11-2019,116.2,None
13-11-2019,14-11-2019,105.29,None
14-11-2019,15-11-2019,113.64,None
15-11-2019,16-11-2019,113.27,None
16-11-2019,17-11-2019,179.31,None
17-11-2019,18-11-2019,143.87,None
18-11-2019,19-11-2019,113.09,None
19-11-2019,20-11-2019,107.71,None
20-11-2019,21-11-2019,104.61,None
21-11-2019,22-11-2019,115.75,None
22-11-2019,23-11-2019,104.16,None
23-11-2019,24-11-2019,112.18,None
24-11-2019,25-11-2019,130.63,None
25-11-2019,26-11-2019,134.43,None
26-11-2019,27-11-2019,150.17,None
27-11-2019,28-11-2019,118.28,None
28-11-2019,29-11-2019,111.17,None
29-11-2019,30-11-2019,107.69,None
30-11-2019,1-12-2019 ,108.67,None
1-12-2019 ,2-12-2019 ,102.29,None
2-12-2019 ,3-12-2019 ,109.38,None
3-12-2019 ,4-12-2019 ,112,None
4-12-2019 ,5-12-2019 ,121.39,None
5-12-2019 ,6-12-2019 ,107.82,None
6-12-2019 ,7-12-2019 ,90.16,None
7-12-2019 ,8-12-2019 ,123.87,None
8-12-2019 ,9-12-2019 ,156.65,None
